01. Image File Review,,0
02. Front Elevation,Passed,1
03. Mud Map,Passed,1
04. Video captured of scope of works/pre-start,NA,0
05. Correct use of available technology e.g. moisture meter/thermal camera,NA,0
06. Photos clearly labelled,Passed,1
07. Appropriate number and quality of photos per affected location,Passed,1
08. Pre-existing defects and damage not related to the claimed event accurately captured and labelled,Passed,1
"09. ",,0
10. Building Report Quality,,0
"11. Occupant/Insured details of event accurately captured - How, When, What",Passed,1
12. Builders Observations accurately recorded,Passed,1
13. Primary Causation accurately recorded,Passed,1
"14. Builders Conclusion - clear, concise, correct policy response, correct referral determination",Passed,1
"15. Report Details - Asbestos, Owner Maintenance and Defects, Accomodation - accurately filled out",Passed,1
16. Clear return note to Submissions team,Passed,1
"17. ",,0
18. Scope of Works Quality,,0
19. Overall measurements for each room stated/Bluetooth measure,Passed,1
"20. Scope responds correctly to PDS requirements i.e. Open Plan areas, Matching, exploratory works",Passed,1
21. Custom items used only when Product Catalog items not available,Passed,1
22. Items missed within the scope,Passed,1
23. Room quantities adjusted to match the repair,Failed,0
24. Correct products identified as like for like,Failed,0
"25. ",,0
"26. ",,0
"27. ",,0
"28. ",,0
"29. ",,0
"30. ",,0
"31. ",,0
"32. ",,0
"33. ",,0
"34. ",,0
"35. ",,0
"36. ",,0
"37. ",,0
"38. ",,0
"39. ",,0
"40. ",,0
"41. ",,0
"42. ",,0
"43. ",,0
"44. ",,0
"45. ",,0
"46. ",,0
"47. ",,0
